label,ID,Exclude,Method,Related entities,Ignore
organismal entity,PCO:0000031,,single,"ancestors, descendants",
organism,CARO:0010004,,single,ancestors,
Vertebrata <Metazoa>,NCBITaxon:7742,,single,ancestors,
root,NCBITaxon:1,yes,single,,
